,datasetId,startTime,endTime,value,timestamp,Time (UTC),Air temperature,Precipitation amount,Wind speed,Cloud amount,Relative humidity,Dew-point temperature,Air temperature (Min),Air temperature (Max),Air temperature (Mean),Air temperature (Median),Precipitation amount (Min),Precipitation amount (Max),Precipitation amount (Mean),Precipitation amount (Median),Wind speed (Min),Wind speed (Max),Wind speed (Mean),Wind speed (Median),Cloud amount (Min),Cloud amount (Max),Cloud amount (Mean),Cloud amount (Median),Relative humidity (Min),Relative humidity (Max),Relative humidity (Mean),Relative humidity (Median),Dew-point temperature (Min),Dew-point temperature (Max),Dew-point temperature (Mean),Dew-point temperature (Median),hour,day_of_week,month,is_weekend,lag_1h_consumption,rolling_mean_24h,temp_hour_interaction,price
78,316,2025-04-08T12:00:00.000Z,2025-04-08T13:00:00.000Z,1.1371786209440677,2025-04-08 13:00:00,2025-04-08 13:00:00,0.5743745351305027,0.0076271186440677,0.5363865554940808,4.045454545454546,51.490196078431374,-5.25343137254902,-1.7,8.3,4.853921568627452,4.9,0.0,0.3,0.0076271186440677,0.0,1.0,17.9,5.206918238993711,4.7,0.0,8.0,4.045454545454546,5.0,19.0,99.0,51.490196078431374,50.0,-16.2,2.4,-5.25343137254902,-5.0,13,1,4,0,92.1,90.616875,63.100980392156885,1.1371786209440669
79,316,2025-04-08T13:00:00.000Z,2025-04-08T14:00:00.000Z,1.0235146026678434,2025-04-08 14:00:00,2025-04-08 14:00:00,0.5562616956017404,0.0068376068376068,0.6160873761590857,4.372727272727273,52.9064039408867,-4.9206896551724135,-3.7,8.8,4.768472906403941,4.9,0.0,0.3,0.0068376068376068,0.0,0.9,19.0,5.329192546583851,4.8,0.0,8.0,4.372727272727273,6.0,18.0,97.0,52.9064039408867,52.0,-15.9,1.2,-4.9206896551724135,-4.6,14,1,4,0,92.1,90.55020833333333,66.75862068965517,1.0235146026678414
80,316,2025-04-08T14:00:00.000Z,2025-04-08T15:00:00.000Z,1.0235146026678434,2025-04-08 15:00:00,2025-04-08 15:00:00,0.508245133871113,0.0101694915254237,0.6499425920167871,4.293577981651376,54.65024630541872,-4.633497536945813,-6.2,8.6,4.541951219512195,4.7,0.0,0.4,0.0101694915254237,0.0,0.9,21.2,5.381132075471698,4.5,0.0,8.0,4.293577981651376,6.0,21.0,95.0,54.65024630541872,55.0,-14.2,1.4,-4.633497536945813,-4.2,15,1,4,0,91.5,90.48354166666665,68.12926829268292,1.0235146026678414
81,316,2025-04-08T15:00:00.000Z,2025-04-08T16:00:00.000Z,1.0235146026678434,2025-04-08 16:00:00,2025-04-08 16:00:00,0.41258898992348897,0.0067796610169491,0.5836153104855752,4.009090909090909,57.19117647058823,-4.311274509803922,-8.1,8.0,4.090686274509804,4.2,0.0,0.5,0.0067796610169491,0.0,0.7,22.5,5.279375,4.2,0.0,8.0,4.009090909090909,5.0,22.0,95.0,57.19117647058823,58.0,-14.3,1.4,-4.311274509803922,-3.9,16,1,4,0,91.5,90.41687499999999,65.45098039215686,1.0235146026678414
82,316,2025-04-08T16:00:00.000Z,2025-04-08T17:00:00.000Z,1.0235146026678434,2025-04-08 17:00:00,2025-04-08 17:00:00,0.2020703549913057,0.011864406779661,0.36525566119380787,4.672727272727273,61.55392156862745,-4.05,-9.1,7.1,3.0975490196078432,3.3,0.0,0.7,0.011864406779661,0.0,0.0,19.1,4.944375,3.85,0.0,8.0,4.672727272727273,7.0,27.0,97.0,61.55392156862745,61.0,-13.3,1.3,-4.05,-3.6,17,1,4,0,91.5,90.35020833333333,52.65833333333333,1.0235146026678414
83,316,2025-04-08T17:00:00.000Z,2025-04-08T18:00:00.000Z,-0.8708857019359125,2025-04-08 18:00:00,2025-04-08 18:00:00,0.009022034725068935,0.009322033898305,0.3484768668759518,5.209090909090909,64.86764705882354,-4.051470588235294,-9.8,6.3,2.186829268292683,2.5,0.0,0.4,0.009322033898305,0.0,0.3,29.1,4.918633540372671,3.9,0.0,8.0,5.209090909090909,7.0,30.0,96.0,64.86764705882354,64.0,-12.7,1.5,-4.051470588235294,-4.0,18,1,4,0,91.5,89.90854166666666,39.3629268292683,-0.8708857019359147
84,316,2025-04-08T18:00:00.000Z,2025-04-08T19:00:00.000Z,-0.8708857019359125,2025-04-08 19:00:00,2025-04-08 19:00:00,-0.08773047068779558,0.0050847457627118,0.27641231218246026,5.663636363636364,66.67647058823529,-4.080882352941177,-10.7,6.1,1.7303921568627452,2.3,0.0,0.3,0.0050847457627118,0.0,0.0,24.1,4.8080745341614906,3.6,0.0,8.0,5.663636363636364,7.0,36.0,100.0,66.67647058823529,65.0,-12.3,1.5,-4.080882352941177,-4.1,19,1,4,0,81.5,89.42766666666665,32.877450980392155,-0.8708857019359147
85,316,2025-04-08T19:00:00.000Z,2025-04-08T20:00:00.000Z,-0.8708857019359125,2025-04-08 20:00:00,2025-04-08 20:00:00,-0.14820522169003186,0.011864406779661,0.18896318963305495,5.3,68.16666666666667,-4.034313725490196,-11.5,4.7,1.4450980392156862,2.4,0.0,0.3,0.011864406779661,0.0,0.0,22.2,4.673913043478261,3.8,0.0,8.0,5.3,7.0,30.0,100.0,68.16666666666667,67.5,-13.3,1.7,-4.034313725490196,-3.9,20,1,4,0,81.5,88.94679166666667,28.901960784313726,-0.8708857019359147
86,316,2025-04-08T20:00:00.000Z,2025-04-08T21:00:00.000Z,-0.8708857019359125,2025-04-08 21:00:00,2025-04-08 21:00:00,-0.1902329180616807,0.0254237288135593,0.34928658097363136,5.9363636363636365,68.91666666666667,-4.056862745098039,-11.3,5.0,1.246829268292683,2.4,0.0,1.2,0.0254237288135593,0.0,0.0,25.0,4.919875776397515,3.8,0.0,9.0,5.9363636363636365,8.0,33.0,100.0,68.91666666666667,71.0,-12.7,1.5,-4.056862745098039,-3.3,21,1,4,0,81.5,88.505125,26.18341463414634,-0.8708857019359147
87,316,2025-04-08T21:00:00.000Z,2025-04-08T22:00:00.000Z,-0.8708857019359125,2025-04-08 22:00:00,2025-04-08 22:00:00,-0.22094117650371806,0.0406779661016949,0.48693797757917695,6.0181818181818185,68.62745098039215,-4.238725490196079,-10.8,6.3,1.1019607843137256,2.35,0.0,1.9,0.0406779661016949,0.0,0.0,19.5,5.131055900621118,4.1,0.0,9.0,6.0181818181818185,7.0,36.0,100.0,68.62745098039215,69.0,-13.8,1.7,-4.238725490196079,-3.65,22,1,4,0,81.5,88.06345833333334,24.243137254901963,-0.8708857019359147
